代码,名称,池,行业,PE,ROE,毛利率,净利率,负债率,市值(亿),营收增速,理由
000682.SZ,东方电子,大市值,电气设备,15.9151,15.6364,30.4499,14.6565,52.8068,163.4,8.0511,电力自动化/智能电网，市值163亿。ROE(年)15.64%良好，毛利率30.45%净利率14.66%(电力自动化软件占比高)，PE(TTM)15.92合理。营收增速8.05%稳健，受益电网投资与新能源并网需求。负债率52.81%中等。电网
000685.SZ,中山公用,大市值,水务,7.5084,12.3044,27.7779,58.9077,46.8136,162.0,2.9482,中山公用，水务+金融股权，市值162亿。PE(TTM)7.51极低，ROE(年)12.30%稳健，净利率58.91%含广发证券等金融投资收益贡献(公司持有券商/农商行股权)。负债率46.81%中等，营收增速2.95%低速稳定。区域水务特许经
000686.SZ,东北证券,大市值,证券,11.3677,8.0484,,31.7157,83.4177,188.6,34.8006,中小券商，市值189亿。金融豁免处理：ROE(年)8.05%刚达标门槛(头部券商10%+)，营收增速34.80%显示市场回暖业绩弹性，PE(TTM)11.37对应PB约0.9倍不贵，净利率31.72%。负债率83.42%为券商客户保证金特性
000690.SZ,宝新能源,大市值,火力发电,10.0933,9.5844,23.4015,14.764,40.2943,104.4,5.9775,广东民营火电，市值104亿。PE(TTM)10.09便宜，ROE(年)9.58%尚可，毛利率23.4%净利率14.76%(煤价回落盈利改善)，营收增速5.98%稳定。负债率40.29%低于火电行业平均，财务稳健。区域电力供应地位+低成本煤源
000783.SZ,长江证券,大市值,证券,11.894,14.028,,44.1917,78.7084,499.9,34.6466,中大型券商(华中龙头)，市值500亿。金融豁免处理：ROE(年)14.03%良好(远超8%门槛，优于多数中小券商)，营收增速34.65%市场回暖业绩弹性佳，PE(TTM)11.89对应PB约1.7倍合理，净利率44.19%。负债率78.71
000791.SZ,甘肃能源,大市值,水力发电,12.3199,12.7352,43.0367,32.0818,50.6968,253.7,6.9431,甘肃水电+新能源，市值254亿。PE(TTM)12.32便宜，ROE(年)12.74%尚可，毛利率43.04%净利率32.08%水电特性优异，营收增速6.94%稳定，叠加新能源装机成长。负债率50.70%中等。水电资源稀缺护城河+风光增量，
000792.SZ,盐湖股份,大市值,农药化肥,14.7754,27.0076,68.7225,54.256,15.8486,1524.0,94.892,"盐湖股份(农药化肥/钾锂双龙头): ROE年化27.0%优秀、毛利68.7%、净利54.3%极高、负债率15.8%低、营收+94.9%(钾锂景气)。PE 14.8相对高盈利合理偏低估,市值验证通过(1524亿/偏差0.01%)。察尔汗盐湖资"
000807.SZ,云铝股份,大市值,铝,10.8391,42.5488,31.5743,25.3043,17.7381,940.9,13.6841,水电电解铝龙头，市值941亿。ROE(年)42.55%极高，毛利率31.57%净利率25.3%(绿电电价成本优势)，PE(TTM)10.84便宜，负债率仅17.74%电解铝行业罕见极优。营收增速13.68%稳健(绿电+产能指标稀缺护城河)。
000833.SZ,粤桂股份,大市值,综合类,28.0214,21.3176,35.4234,21.9941,43.8319,162.2,43.1743,综合类(制糖+亚洲最大硫铁矿+战略矿产布局)，市值162亿。ROE(年)21.32%良好，营收增速43.17%中高速，毛利率35.42%净利率22%，负债率43.83%中等。PE(TTM)28.02偏贵，业务较分散综合类透明度一般。ROE与
000848.SZ,承德露露,大市值,软饮料,13.5827,27.598,49.3245,21.8073,31.6502,89.7,13.7278,承德露露：软饮料品牌(露露杏仁露)细分龙头，ROE27.6%高且稳定，毛利率49.3%/净利率21.8%，负债率31.7%低，现金流充沛。PE13.6倍显著低于ROE水平，PEG<1估值被低估；营收增速13.7%稳健。回购+股权激励2条彰显
000858.SZ,五粮液,大市值,白酒,23.1374,26.0164,81.4344,36.447,34.3133,2915.5,33.667,白酒第二龙头，市值2916亿。ROE(年)26.02%优秀，毛利率81.43%净利率36.45%白酒顶级水平，营收增速33.67%稳健。PE(TTM)23.14对应增速PEG约0.7明显偏低，负债率34.31%低。品牌+工艺+渠道护城河深厚
000885.SZ,城发环境,大市值,环境保护,6.4643,13.0336,41.7076,21.0725,66.7089,82.6,5.8524,河南固废处理/垃圾焚烧发电，市值83亿。PE(TTM)6.46极低，ROE(年)13.03%尚可，毛利率41.71%净利率21.07%(运营期盈利释放)，营收增速5.85%稳定。负债率66.71%偏高为垃圾焚烧重资产特性，投运后现金流改善。
000893.SZ,亚钾国际,大市值,农药化肥,24.4785,15.63,57.3642,35.8485,32.5255,445.7,22.7045,老挝钾肥矿(战略资源+产能扩张期)，市值446亿。ROE(年)15.63%尚可，毛利率57.36%净利率35.85%资源型高盈利，营收增速22.70%受益产能投放，负债率32.53%低。PE(TTM)24.48略偏高但成长性支撑。钾肥资源稀
000895.SZ,双汇发展,大市值,食品,15.9887,23.476,19.7026,8.9754,47.4843,840.9,1.9592,肉制品龙头(双汇)，市值841亿。ROE(年)23.48%优秀，高分红收息属性强，PE(TTM)15.99合理。毛利率19.7%偏低因含低毛利屠宰业务结构性拉低，净利率8.98%。营收增速1.96%停滞(成熟消费品)。品牌+渠道+规模护城河
000899.SZ,赣能股份,大市值,火力发电,10.4901,12.3376,17.4943,11.365,63.3306,106.5,52.4374,赣能股份：火力发电，PE 10.49低估值+ROE年化12.34%+营收增速52.4%，火电中增速突出。净利率11.4%尚可，负债率63.3%偏高但属火电常态。冷信息显示股东户数+61.6%筹码分散、有重组公告需关注，但环比下滑属季度波动。
000902.SZ,新洋丰,大市值,农药化肥,10.5328,16.4488,18.0102,9.3374,39.8029,168.1,17.8177,磷复肥龙头。PE 10.53/市值168亿，ROE年化16.45%优秀，营收增速17.8%稳健，负债率39.8%健康，毛利18%符合制造业常态。低估值+高ROE+稳定增长，明显低估，PASS。
000933.SZ,神火股份,大市值,铝,8.7676,36.6064,36.1731,24.5155,42.3153,603.4,21.3544,神火股份：电解铝+煤炭双主业，ROE36.6%高位但电解铝有供给侧产能天花板逻辑，盈利中枢较传统周期股上移。毛利率36.2%/净利率24.5%优秀，负债率42.3%适中。PE8.8倍显著低估，营收增速21.4%稳健，财务无显著突变。股权激励
000963.SZ,华东医药,大市值,化学制药,14.5184,15.8624,33.9431,8.9164,34.6304,508.4,4.1698,华东医药：化学制药，市值508亿。PE14.5偏低+ROE15.9%优秀+负债率34.6%稳健，估值相对基本面合理偏低。医药板块毛利33.9%偏低系商业配送业务拖累，主业创新药+医美(少女针)有护城河。注意：单季经营现金流为负-8.5亿，营
000975.SZ,山金国际,大市值,黄金,19.8973,35.7892,40.6678,26.006,22.6432,730.6,37.4084,山金国际：黄金矿企，市值731亿。ROE年度35.8%极优秀+负债率22.6%低+营收增速37.4%高增，PE19.9对应PEG约0.5，估值与成长匹配。黄金行业看股息率/ROE/负债，三项均优；公告含业绩预增+回购托底。注意周期属性：金价
000999.SZ,华润三九,大市值,中成药,12.9608,18.9504,57.6796,14.8763,31.7612,418.2,18.6204,华润三九：央企中药OTC龙头(999感冒灵等)，ROE19%稳健，毛利率57.7%，负债率31.8%低。PE13.0倍对应营收增速18.6%PEG约0.7，明显低估；营收增速18.6%稳定增长。应收/营收1.01需关注但属中成药行业账期常态
001221.SZ,悍高集团,大市值,家居用品,22.6123,17.848,36.2272,18.2406,23.3373,162.0,12.5383,悍高集团：家居五金收纳，市值162亿。ROE 17.8%良好+负债率23.3%低+净利率18.2%高，PE22.6合理；股东户数-49.6%筹码高度集中(正面)。毛利率36.2%体现品牌溢价，晾晒架/收纳五金细分龙头。注意：存货激增40.8
001286.SZ,陕西能源,大市值,火力发电,12.2911,13.1716,39.1549,24.0555,53.1636,392.6,11.1015,陕西能源：火力发电/煤电一体化，市值393亿。PE 12.3低+ROE 13.2%良好+毛利率39.2%(煤电一体成本优势)+营收增11.1%；火电公用事业现金流稳定+股息，低估值提供安全边际。负债率53.2%为火电重资产行业正常水平，无明
001316.SZ,润贝航科,小盘,批发业,20.3862,18.1164,30.4362,20.2464,16.0642,42.9,25.2079,ROE 18.1%+净利20.2%+负债率16%极低+营收+25%，PE 20倍合理，航材分销有资质壁垒
001328.SZ,登康口腔,小盘,日用化工,27.8252,13.4584,52.5888,10.456,25.0255,52.8,15.0945,冷酸灵品牌+毛利52.6%+负债率25%健康+营收增15%，消费龙头质地佳
001332.SZ,锡装股份,小盘,专用机械,17.8887,13.9876,44.3051,25.8165,26.2727,48.7,83.4265,营收+83%爆发增长+毛利44%净利26%优秀，PE 17.9倍低估，负债率26%健康
002001.SZ,新和成,大市值,化学制药,14.0082,21.5164,42.881,29.1632,25.6351,940.2,15.7195,新和成：维生素/蛋氨酸/香精香料全球龙头，ROE21.5%优秀且稳定，毛利率42.9%/净利率29.2%，负债率仅25.6%财务稳健。PE14.0倍对应营收增速15.7%PEG约0.9，估值合理偏低。细分领域全球市占率领先形成成本+规模护城
002032.SZ,苏泊尔,大市值,家用电器,15.6203,30.9172,25.0671,8.5926,48.7624,328.8,1.6542,苏泊尔：小家电龙头，ROE30.9%优秀，PE15.6倍估值合理，毛利率25.1%。苏泊尔品牌+渠道+SEB集团背书形成强护城河，盈利稳定现金流充沛。营收增速1.7%虽停滞但公司属成熟消费品牌，高ROE+合理估值提供安全边际。Q1营收/净利
002033.SZ,丽江股份,小盘,旅游景点,19.3716,10.2824,60.9564,37.477,7.3212,47.6,23.5566,玉龙雪山稀缺资源+毛利61%净利37.5%+负债率7.3%极低+营收+23.6%，PE 19.4合理
002043.SZ,兔宝宝,大市值,其他建材,13.7116,17.5448,16.1786,8.7309,36.9076,102.7,32.6794,兔宝宝：装饰板材龙头，市值103亿。PE 13.7低+ROE 17.5%良好+营收增32.7%(PEG约0.42)，低估值高成长组合优异；板材品牌+渠道有护城河，股东户数中期-39.4%筹码集中。毛利16.2%偏低为建材分销行业特征，经营现
002064.SZ,华峰化学,大市值,化纤,20.8956,14.1334,21.8245,14.0063,24.7381,597.0,16.7264,华峰化学：氨纶/己二酸龙头，市值597亿。PE 20.9合理+ROE 14.1%良好+营收增16.7%(PEG约1.25)，估值成长匹配；负债率24.7%低，股东户数-25.1%筹码集中，无财务异常信号。化纤龙头规模成本优势+PA66/己二
002128.SZ,电投能源,大市值,煤炭开采,14.7438,20.5496,46.5209,31.0031,22.9248,864.2,11.6196,电投能源：煤炭+电解铝双主业，ROE20.5%优秀，毛利率46.5%/净利率31%，负债率仅22.9%财务稳健。PE14.7倍对应营收增速11.6%估值合理偏低。煤炭盈利稳定+电解铝受益新能源需求+产能天花板，资源+能源双轮驱动，央企背景(
002142.SZ,宁波银行,大市值,银行,6.907,12.9692,,40.571,93.2963,2078.8,10.2136,宁波银行：城商行标杆，市值2079亿。[金融豁免]ROE 13%优秀(银行中最高梯队)+PE 6.9低+营收增10.2%(银行中较快)，估值与盈利质量俱佳；净利率40.6%，资产质量同业领先。负债率93%为银行经营特性。环比下滑系季度波动无
002154.SZ,报喜鸟,小盘,服饰,14.6557,19.9176,65.5547,16.5021,30.729,59.8,10.456,ROE 19.9%+毛利65.6%优秀，PE 14.7倍低估，负债率31%健康，男装品牌有护城河
002170.SZ,芭田股份,小盘,农药化肥,11.0588,28.0296,38.2229,20.6193,34.7215,112.2,19.4204,"芭田股份(化肥)PE11.06+ROE年化28%+营收增速19.4%,PEG<0.6明显低估;毛利38%净利率20.6%负债率34.7%财务稳健;市值交叉验证112.2亿一致。注意:营收/净利/现金流环比下滑70%+（化肥季节性+股东户数中"
002215.SZ,诺普信,小盘,农药化肥,11.8278,66.5828,42.6908,28.525,59.1755,91.8,25.1945,"诺普信(农药制剂龙头)PE11.83+ROE年化66.6%极高,毛利42.7%净利率28.5%盈利能力强,营收+25.2%,PEG<0.5显著低估;市值交叉验证91.8亿一致。关注点:应收账款激增121%(6.5亿→14.3亿)、经营现金流"
002216.SZ,三全食品,大市值,食品,18.643,22.568,25.5377,10.9751,34.4251,112.9,10.5803,三全食品：速冻食品龙头(水饺/汤圆)，市值113亿。PE 18.6合理+ROE 22.6%优秀+营收增10.6%稳健，消费品牌有渠道护城河；负债率34.4%健康，股东户数-20.8%筹码集中。存货骤降42.4%系去库存属良性，应收激增36.
002262.SZ,恩华药业,大市值,化学制药,20.6554,15.4536,70.9674,19.7237,13.4521,221.8,6.5765,恩华药业：中枢神经(麻醉/精神)用药龙头，市值222亿。毛利71%极高+负债率13.5%极低+ROE 15.5%良好，PE 20.7合理；管制类药品壁垒高护城河强，净利率19.7%。营收增速6.6%偏慢但医药估值合理提供安全边际，应收1.0
002270.SZ,华明装备,大市值,电气设备,25.7717,20.822,53.2465,30.9213,37.1784,180.8,4.0709,华明装备：变压器分接开关全球龙头，市值181亿。ROE 20.8%优秀+毛利53.2%+净利率30.9%极高，盈利质量一流；PE 25.8对应高ROE合理，负债率37.2%稳健。分接开关全球份额第一护城河深，电网改造+海外出口双驱动。营收增
002275.SZ,桂林三金,小盘,中成药,17.3412,15.2704,82.2643,23.6815,23.0652,78.5,12.5489,三金西瓜霜品牌+毛利82%+负债率23%+PE17倍，品牌中药低估优质
002293.SZ,罗莱生活,大市值,纺织,16.9141,13.8216,49.5821,12.7491,29.2891,93.8,5.8709,罗莱生活：家纺龙头(罗莱/LOVO)，市值94亿。PE 16.9合理+ROE 13.8%稳定+毛利49.6%高(品牌溢价强)+净利率12.7%，负债率29.3%低；品牌+渠道护城河，分红稳定。营收增速5.9%慢为家纺成熟行业特性，但低估值高
002345.SZ,潮宏基,大市值,服饰,16.4593,27.0776,26.9171,10.5936,44.8723,94.1,10.9329,潮宏基：珠宝首饰品牌(K金/钻石)，市值94亿。PE 16.5合理+ROE 27.1%优秀+营收增10.9%，低估值高ROE组合；珠宝品牌+门店渠道护城河，净利率10.6%。负债率44.9%略高系珠宝行业备货特性，股东户数+51%筹码分散需
002379.SZ,宏桥控股,大市值,铝,13.065,55.2516,24.0302,16.5062,52.3604,2574.9,3.2051,宏桥控股：全球最大电解铝生产商，市值2575亿。ROE 55.3%极高+PE 13.1低+净利率16.5%，规模成本优势全球领先护城河深；铝价高景气推高盈利，但一体化+低成本优势使ROE长期优于同行。营收增速3.2%慢为产量稳定价格驱动特性
002414.SZ,高德红外,大市值,电器仪表,61.9965,20.2596,62.57,29.3674,34.4697,600.5,83.0224,高德红外：红外探测器/热像仪龙头(军工+民用)，市值600亿。营收增83%(军工订单放量)+毛利62.6%+净利率29.4%+ROE 20.3%，PEG约0.75成长估值匹配；红外芯片国产自主可控护城河深，负债率34.5%稳健。PE 62绝
002415.SZ,海康威视,小盘,IT设备,20.7683,18.8334,49.9673,19.4842,32.3603,3413.0,11.9673,"海康威视(安防/智能物联龙头)PE20.8+ROE年化18.8%+营收+12%,白马龙头估值合理PEG约1.7;毛利50%净利率19.5%盈利质量优秀,负债率32.4%低,市值交叉验证3413亿一致,冷信息无财务异常,股东户数减少筹码集中。"
002458.SZ,益生股份,大市值,农业综合,27.8359,13.7174,28.0446,18.2084,35.1414,130.0,28.4363,益生股份：白羽鸡种鸡龙头(祖代/父母代垄断)，市值130亿。PE 27.8+ROE 13.7%+营收增28.4%(PEG约0.98)，估值与周期上行匹配；祖代种鸡进口垄断地位护城河强，净利率18.2%。负债率35.1%稳健。鸡周期波动是风险
002463.SZ,沪电股份,大市值,元器件,56.305,31.1468,35.6324,19.9776,48.6431,2422.2,53.9061,沪电股份：AI服务器高多层PCB龙头，市值2422亿。ROE 31.1%优秀+营收增53.9%(PEG约1.04)+净利率20%，高成长与估值基本匹配；AI算力需求爆发+高端PCB技术壁垒护城河深。负债率48.6%略高但AI景气下现金流充裕
002487.SZ,大金重工,大市值,电气设备,23.8507,20.4696,39.1904,22.7923,37.1145,311.7,67.1721,大金重工：海上风电塔筒龙头，市值312亿。ROE 20.5%优秀+营收增67.2%(PEG约0.36)+毛利39.2%+净利率22.8%，海风放量高成长且估值低；负债率37.1%稳健。海风塔筒出海+欧洲订单提供增量，技术/产能壁垒。低估值+
002507.SZ,涪陵榨菜,小盘,食品,17.2134,12.2648,54.8553,36.1535,6.9657,132.2,5.701,"涪陵榨菜(榨菜消费龙头)PE17.2合理+ROE年化12.3%,毛利54.9%净利率36.2%盈利质量优秀,负债率仅7%财务极稳健,市值交叉验证132.2亿一致,无冷信息红旗。消费品牌护城河强,增速5.7%偏慢但估值匹配,安全边际充足,综合"
002517.SZ,恺英网络,大市值,互联网,17.6849,30.8276,80.7497,37.0447,22.4364,383.1,64.1938,恺英网络：游戏公司(传奇/仙侠IP)，市值383亿。ROE 30.8%优秀+毛利80.7%+净利率37%极高+PE 17.7(对应营收增64.2%，PEG约0.28)明显低估，负债率22.4%低；游戏IP运营+小游戏出海提供成长。应收激增3
002532.SZ,天山铝业,大市值,铝,10.4908,29.152,35.6052,26.1937,39.9421,627.2,6.5539,天山铝业：低成本电解铝龙头(新疆一体化)，市值627亿。PE 10.5极低+ROE 29.2%优秀+净利率26.2%，电力自给+一体化成本优势护城河强；铝价高景气推高盈利，低估值+高ROE组合突出。营收增速6.6%慢为产量稳定价格驱动特性，
002558.SZ,巨人网络,大市值,互联网,22.4212,27.258,95.3777,50.0718,19.8603,557.6,221.7004,巨人网络：游戏公司(征途IP/球球大作战)，市值558亿。ROE 27.3%优秀+毛利95.4%+净利率50.1%极高+负债率19.9%低，PE 22.4估值合理；游戏IP长线运营+AI应用探索。营收增221.7%幅度极大，可能含低基数/新
002568.SZ,百润股份,大市值,红黄酒,27.9016,18.9878,70.6588,28.8859,41.4037,202.9,11.341,百润股份：预调酒RIO龙头，市值203亿。ROE 19%优秀+毛利70.7%+净利率28.9%，预调酒品牌龙头护城河强；PE 27.9相对营收增11.3%略偏贵但消费品牌估值中枢合理。负债率41.4%稳健。预调酒赛道渗透率提升+微醺系列放量
002588.SZ,史丹利,大市值,农药化肥,9.1699,17.6876,17.3219,8.8779,43.3443,99.6,19.2215,史丹利：复合肥龙头，市值100亿。PE 9.2极低+ROE 17.7%良好+营收增19.2%(PEG约0.48)，低估明显；品牌渠道护城河+粮食安全需求稳定。股东户数-31.7%筹码集中。毛利17.3%低为化肥行业常态，经营现金流-3.6亿
002602.SZ,世纪华通,大市值,互联网,16.1549,25.7592,72.0479,18.6083,28.0363,1014.9,35.1855,世纪华通：游戏龙头(盛趣传奇IP)，市值1015亿。ROE 25.8%优秀+毛利72%+净利率18.6%+PE 16.2(对应营收增35.2%，PEG约0.46)明显低估，负债率28%低；游戏IP+小游戏+海外+算力/AI概念。大宗交易8笔
002648.SZ,卫星化学,小盘,化工原料,14.8217,24.5424,24.3379,16.6996,52.4788,868.4,2.822,"卫星化学(C2/C3轻烃一体化化工龙头)PE14.8+ROE年化24.5%显著低估,毛利24.3%净利率16.7%盈利质量优秀,营收+2.8%为化工周期底部特征,市值交叉验证868.4亿一致,无冷信息红旗。ROE高+PE低+财务稳健,周期底"
002668.SZ,TCL智家,大市值,家用电器,10.2631,33.1872,25.1955,11.4828,66.2794,115.8,6.2243,"TCL智家(家电,115.8亿):PE10.3低估,ROE33.2%优秀,毛利25.2%正常,净利率11.5%,营收+6.2%稳健。负债率66.3%偏高(家电常见)。冷信息:营收/净利环比-73%疑似季度噪声,股东户数+16%筹码分散,略扣"
002737.SZ,葵花药业,小盘,中成药,,11.3304,56.3359,13.7208,23.3243,78.1,27.1929,"葵花药业(中成药/小葵花儿童药,市值78.1亿):毛利率56.3%净利率13.7%品牌药盈利能力佳,负债率23.3%极低,应收/营收仅0.07现金回款极优,2026Q1营收8.4亿同比+27.2%高增长且盈利1.1亿扭亏,经营现金流健康(2"
002756.SZ,永兴材料,大市值,小金属,27.2842,15.1224,30.8687,20.723,11.4547,261.7,35.8164,锂电小金属(碳酸锂)周期股。PE 27.28/市值262亿，PEG约0.76，ROE年化15.1%，毛利30.9%、净利率20.7%优秀，负债率仅11.5%极低财务稳健，营收+35.8%景气回升。低负债+合理估值，周期底部布局价值，PASS
002772.SZ,众兴菌业,小盘,种植业,8.9212,18.1752,39.3489,27.1332,52.9082,40.1,27.3644,"众兴菌业(种植业/食用菌):PE TTM8.9+ROE年化18.2%(PB约1.6)典型低估值高回报组合,毛利率39.4%净利率27.1%盈利能力强,营收+27.4%,股东户数中期-26.6%筹码集中;无应收高企信号;风险:负债率52.9%"
002832.SZ,比音勒芬,大市值,服饰,23.2051,27.8288,75.2717,25.3718,27.9479,140.5,18.3619,高端运动服饰品牌龙头。PE 23.21/市值140亿，ROE年化27.83%优异，毛利75.3%、净利率25.4%极强品牌溢价，营收+18.4%稳健增长，负债率28%财务健康。高ROE+强品牌+合理估值，优质消费标的，PASS。
002833.SZ,弘亚数控,小盘,专用机械,17.508,19.5108,33.7813,18.7687,29.4401,77.7,19.5544,"弘亚数控(专用机械/木工机械龙头,市值77.7亿):PE 17.5对应ROE年化19.5%估值合理偏低,毛利率33.8%净利率18.8%盈利效率高,应收/营收仅0.06现金回款极优,OCF/净利1.06现金流扎实,2026Q1营收7.8亿同"
002839.SZ,张家港行,大市值,银行,5.335,11.072,,45.6131,91.1424,106.3,-4.4306,江苏农商行。金融豁免按ROE评估：ROE年化11.07%达标(≥8%)，PE仅5.34/市值106亿估值低，负债率91%属银行业常态不看。隐忧营收-4.4%(净息差收窄行业共性)，净利率45.6%稳定。低PE+ROE达标，区域银行稳健，PA
002847.SZ,盐津铺子,大市值,食品,16.6507,42.9012,31.8189,14.5814,48.8723,133.4,2.9385,盐津铺子：休闲零食品牌，ROE年化42.9%极优秀+PE 16.65估值便宜(ROE/PE比超2.5)，净利率14.6%、毛利率31.8%消费品牌健康水平。营收增速2.9%偏慢是隐忧但盈利质量高，负债率48.9%可控，渠道品牌护城河稳固。综
002884.SZ,凌霄泵业,小盘,机械基件,12.8473,15.8864,32.3222,22.6531,7.1355,57.6,17.9461,"凌霄泵业(机械基件/民用水泵):PE TTM12.8低估值+ROE年化15.9%高回报+负债率7.1%几乎无负债+净利率22.7%,典型优质小盘价值股组合;营收+17.9%,毛利率32.3%;风险:应收激增36.1%(回款需盯),Q1现金流"
002901.SZ,大博医疗,大市值,医疗保健,28.6809,16.0744,74.1625,25.2363,23.3623,184.4,16.5645,骨科高值耗材龙头。PE 28.68/市值184亿医疗板块合理，ROE年化16.07%良好，毛利74.2%、净利率25.2%极强定价权，营收+16.6%稳健，负债率23.4%极低财务健康。高毛利高ROE+低负债，优质医疗标的，PASS。
002946.SZ,新乳业,大市值,乳制品,18.2496,19.0792,29.9669,6.732,55.2894,143.1,8.3056,区域乳业龙头(西南市场)。PE 18.25/市值143亿估值合理，ROE年化19.08%优秀，毛利30%尚可、净利率6.7%(乳业常态)，营收+8.3%稳健，负债率55.3%偏高(并购扩张)但可控。高ROE+合理估值，PASS(关注负债率)
002947.SZ,恒铭达,大市值,元器件,26.3552,19.0744,34.7468,21.2323,25.2058,151.6,10.0395,消费电子精密功能件。PE 26.36/市值152亿中等，ROE年化19.07%优秀，毛利34.7%、净利率21.2%盈利质量佳，营收+10%平稳，负债率仅25.2%财务极健康。高ROE+高净利率+低杠杆，优质制造标的，PASS。
002948.SZ,青岛银行,大市值,银行,6.0723,12.18,,36.1891,93.7571,331.2,7.2986,城商行。金融豁免按ROE评估：ROE年化12.18%达标且良好，营收+7.3%正增长(优于同业)，PE仅6.07/市值331亿估值低，净利率36.2%稳定，负债率94%属银行业常态不看。ROE达标+营收正增+低PE，优质城商行，PASS。
002956.SZ,西麦食品,小盘,食品,25.6007,24.3684,44.0786,12.3757,26.9395,55.9,25.6454,"西麦食品(食品/燕麦龙头):ROE年化24.4%很高,毛利率44.1%净利率12.4%,营收+25.6%成长佳,负债率27%低财务健康;PE TTM25.6对应高ROE高增速PEG约1合理;无应收高企无存货激增,现金流环比降幅温和(-27%"
002961.SZ,瑞达期货,大市值,多元金融,14.0195,21.0028,,51.3248,86.1602,93.9,108.4239,期货公司。金融豁免按ROE评估：ROE年化21.0%优秀，营收+108.4%爆发(期货市场交投活跃)，PE仅14.02/市值94亿低估值，净利率51.3%。低估值+高ROE+成交景气，PASS(注意期货佣金收入随行情波动大)。
002966.SZ,苏州银行,大市值,银行,6.678,10.8676,,48.4353,92.4148,365.7,10.9413,苏州城商行。金融豁免按ROE评估：ROE年化10.87%达标，营收+10.94%良好正增长，PE仅6.68/市值366亿低估值，净利率48.4%稳定，负债率92%银行业常态不看。ROE达标+营收正增+低PE，区域城商行优质，PASS。
